2010-10-25 11:35:54.826700: Successfully scanned file test-data/DNS-data
2010-10-25 11:35:54.826700: Error in formatting - could not add the following records:
Line:44629|+arrow-pc.eecs.qmul.ac.uk:138.37.8^224.94.37.138.in-addr.arpa:enchilada.eecs.qmul.ac.uk.:864008.157:86400|IP address or machine name is invalid.
Line:46551|^_services._dns-sd._udp.dcs.qmul.ac.uk:_http._tcp.dcs.qmul.ac.uk:300|IP address or machine name is invalid.
Line:46552|^_services._dns-sd._udp.dcs.qmul.ac.uk:_ipp._tcp.dcs.qmul.ac.uk:300|IP address or machine name is invalid.
Line:46553|^b._dns-sd._udp.dcs.qmul.ac.uk:dcs.qmul.ac.uk:86400|IP address or machine name is invalid.
Line:46554|^lb._dns-sd._udp.dcs.qmul.ac.uk:dcs.qmul.ac.uk:86400|IP address or machine name is invalid.
Line:46555|^_http._tcp.dcs.qmul.ac.uk:JANET\ Roaming\ Service._http._tcp.dcs.qmul.ac.uk|IP address or machine name is invalid.
2010-10-25 11:35:54.826700|Error|Machine Name: raspberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::d1, DNS type:3AN | could not save to database - This IP address has aleady been assigned to another name, inkberry-ebr3.core-net.qmul.ac.uk.
2010-10-25 11:35:54.826700|Error|Machine Name: strawberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::db, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 51.
2010-10-25 11:35:54.826700|Error|Machine Name: tayberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::dc, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 52.
2010-10-25 11:35:54.826700|Error|Machine Name: uberberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::dd, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 53.
2010-10-25 11:35:54.826700|Error|Machine Name: veeberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::de, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 54.
2010-10-25 11:35:54.826700|Error|Machine Name: whortleberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::df, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 55.
2010-10-25 11:35:54.826700|Error|Machine Name: xayaberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::e0, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 56.
2010-10-25 11:35:54.826700|Error|Machine Name: youngberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::e1, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 57.
2010-10-25 11:35:54.826700|Error|Machine Name: cerberus.retroscreen.qmul.ac.uk, IP Address: 138.37.208.224, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 59.
2010-10-25 11:35:54.826700|Error|Machine Name: virgilius.retroscreen.qmul.ac.uk, IP Address: 138.37.208.226, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 60.
2010-10-25 11:35:54.826700|Error|Machine Name: remus.retroscreen.qmul.ac.uk, IP Address: 138.37.208.227, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 61.
2010-10-25 11:35:54.826700|Error|Machine Name: romulus.retroscreen.qmul.ac.uk, IP Address: 138.37.208.229, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 62.
2010-10-25 11:35:54.826700|Error|Machine Name: cerberus.retroscreen.com, IP Address: 138.37.208.224, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 63.
2010-10-25 11:35:54.826700|Error|Machine Name: virgilius.retroscreen.com, IP Address: 138.37.208.226, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 64.
2010-10-25 11:35:54.826700|Error|Machine Name: remus.retroscreen.com, IP Address: 138.37.208.227, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 65.
2010-10-25 11:35:54.826700|Error|Machine Name: romulus.retroscreen.com, IP Address: 138.37.208.229, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 66.
2010-10-25 11:35:54.826700|Error|Machine Name: cerberus.retroscreen.com, IP Address: 138.37.208.230, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 67.
2010-10-25 11:35:54.826700|Error|Machine Name: exchange.qmsu.org, IP Address: 138.37.63.105, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 68.
2010-10-25 11:35:54.826700|Error|Machine Name: www.QMandWAlumni.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 69.
2010-10-25 11:35:54.826700|Error|Machine Name: www.crusaderstudies.org.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 70.
2010-10-25 11:35:54.826700|Error|Machine Name: www.livesandletters.ac.uk, IP Address: 138.37.7.145, DNS type:1BD | could not save to database - You cannot create this record because it already exists. DNS ID: 71.
2010-10-25 11:35:54.826700|Error|Machine Name: www-test.livesandletters.ac.uk, IP Address: 138.37.211.162, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 72.
2010-10-25 11:35:54.826700|Error|Machine Name: www.octagon-venue.com, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 73.
2010-10-25 11:35:54.826700|Error|Machine Name: www.molecularpathology.org.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 74.
2010-10-25 11:35:54.826700|Error|Machine Name: www.historyofpoliticalthought.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 75.
2010-10-25 11:35:54.826700|Error|Machine Name: historyofpoliticalthought.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 76.
2010-10-25 11:35:54.826700|Error|Machine Name: www.performingrightslibrary.org, IP Address: 138.37.7.140, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 77.
2010-10-25 11:35:54.826700|Error|Machine Name: performingrightslibrary.org, IP Address: 138.37.7.140, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 78.
2010-10-25 11:35:54.826700|Error|Machine Name: www.pacetrial.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 79.
2010-10-25 11:35:54.826700|Error|Machine Name: pacetrial.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 80.
2010-10-25 11:35:54.826700|Error|Machine Name: www.peoplespalace.org.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 81.
2010-10-25 11:35:54.826700|Error|Machine Name: peoplespalace.org.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 82.
2010-10-25 11:35:54.826700|Error|Machine Name: www.ranchproject.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 83.
2010-10-25 11:35:54.826700|Error|Machine Name: ranchproject.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 84.
